experiment_id,baseline,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,naive,0,1.098135819247901,1.0981480345957255,1.2215347824584555e-05
E09_CL_BASELINES,naive,1,1.0977183077513761,1.0976391892990764,-7.911845229968684e-05
E09_CL_BASELINES,naive,2,1.0981100544568638,1.0980616745049385,-4.8379951925303644e-05
E09_CL_BASELINES,naive,3,1.0975530787475345,1.0974820091143758,-7.106963315872683e-05
E09_CL_BASELINES,naive,4,1.0977918223724796,1.0974673276344848,-0.0003244947379947849
E09_CL_BASELINES,naive,5,1.0961751852859412,1.0961799276599689,4.742374027699725e-06
E09_CL_BASELINES,naive,6,1.0974565175403865,1.097169213251104,-0.0002873042892825861
E09_CL_BASELINES,naive,7,1.0962996487194532,1.0976718953173603,0.001372246597907134
E09_CL_BASELINES,naive,8,1.097697518998587,1.0972725469824063,-0.00042497201618063585
E09_CL_BASELINES,naive,9,1.0973331182456754,1.097264075598616,-6.904264705931418e-05
E09_CL_BASELINES,replay,0,1.0976528005323385,1.097936229017669,0.0002834284853305835
E09_CL_BASELINES,replay,1,1.0975445505239108,1.0976016800307253,5.71295068145794e-05
E09_CL_BASELINES,replay,2,1.0972369976960523,1.0146739654977557,-0.08256303219829664
E09_CL_BASELINES,replay,3,1.0981849905909318,1.0982794721767315,9.448158579972166e-05
E09_CL_BASELINES,replay,4,1.0955618927980153,1.0965826552917166,0.0010207624937013104
E09_CL_BASELINES,replay,5,1.0979585278215542,1.098193334985329,0.00023480716377477506
E09_CL_BASELINES,replay,6,1.0978394023648663,1.0981029419027386,0.00026353953787228157
E09_CL_BASELINES,replay,7,1.0144094186130403,1.0976574260361631,0.08324800742312277
E09_CL_BASELINES,replay,8,1.0963463903563841,1.0970654583859045,0.0007190680295203755
E09_CL_BASELINES,replay,9,1.0965747272014725,1.0969518783715384,0.0003771511700658703
E09_CL_BASELINES,ewc,0,1.094195588645091,1.0940741521612334,-0.00012143648385753991
E09_CL_BASELINES,ewc,1,1.0978338504046017,1.0978116885010196,-2.2161903582063047e-05
E09_CL_BASELINES,ewc,2,1.0961219379723717,1.0960929569090005,-2.898106337112516e-05
E09_CL_BASELINES,ewc,3,1.0957164664198413,1.0134263948062505,-0.08229007161359081
E09_CL_BASELINES,ewc,4,1.0972416810632495,1.0971599816247355,-8.169943851399353e-05
E09_CL_BASELINES,ewc,5,1.0961077024270722,1.096137952012512,3.024958543984546e-05
E09_CL_BASELINES,ewc,6,1.0975506159811559,1.014736660122822,-0.08281395585833384
E09_CL_BASELINES,ewc,7,1.0954186645891422,1.0953633307507755,-5.533383836664463e-05
E09_CL_BASELINES,ewc,8,1.098033873119681,1.0981323775897616,9.850447008052932e-05
E09_CL_BASELINES,ewc,9,1.09419857385286,1.0941553888535247,-4.318499933519959e-05
