experiment_id,baseline,sequence,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,naive,A,1000,1.0941818175225577,1.0963955974844617,0.002213779961903972
E09_CL_BASELINES,naive,A,1001,1.0935323998501043,1.0965091533984082,0.0029767535483038454
E09_CL_BASELINES,naive,A,1002,1.0955257456782743,1.0976117216616474,0.002085975983373123
E09_CL_BASELINES,naive,A,1003,0.9945925102503702,1.082463338340751,0.08787082809038071
E09_CL_BASELINES,naive,A,1004,1.0792777588618934,1.0779268420143868,-0.0013509168475065447
E09_CL_BASELINES,naive,A,1005,1.0843658795246938,0.9709192135654445,-0.11344666595924924
E09_CL_BASELINES,naive,A,1006,1.0892409112090944,1.0143434882407978,-0.0748974229682966
E09_CL_BASELINES,naive,A,1007,1.0820090406397274,1.0792267852248523,-0.00278225541487509
E09_CL_BASELINES,naive,A,1008,1.0863405200347866,1.0976108892196974,0.011270369184910756
E09_CL_BASELINES,naive,A,1009,1.0947774299515782,1.096060478243928,0.0012830482923498199
E09_CL_BASELINES,naive,A,1010,1.0684805352778692,1.0706645634078513,0.002184028129982085
E09_CL_BASELINES,naive,A,1011,1.0938482877776914,1.0976936761382272,0.0038453883605358286
E09_CL_BASELINES,naive,A,1012,1.0899545748095947,1.0916680071403724,0.0017134323307776977
E09_CL_BASELINES,naive,A,1013,1.0944332702309116,1.0947620130977123,0.00032874286680062426
E09_CL_BASELINES,naive,A,1014,1.0137246564435856,1.094318377516454,0.08059372107286844
E09_CL_BASELINES,naive,A,1015,1.0944877276073943,1.0945827835056532,9.505589825886673e-05
E09_CL_BASELINES,naive,A,1016,1.088860333044666,1.0896129046327343,0.0007525715880682959
E09_CL_BASELINES,naive,A,1017,1.0710403845661114,1.0700727053612826,-0.0009676792048287641
E09_CL_BASELINES,naive,A,1018,1.0962728738017915,1.0962258434046876,-4.703039710385326e-05
E09_CL_BASELINES,naive,A,1019,1.095890932412732,1.0954018795711935,-0.0004890528415384399
E09_CL_BASELINES,naive,A,1020,1.0691066047516111,1.0688216122936247,-0.0002849924579864105
E09_CL_BASELINES,naive,A,1021,1.0979036519713234,1.096531383228405,-0.0013722687429185143
E09_CL_BASELINES,naive,A,1022,1.075088611625544,1.067773259767443,-0.00731535185810106
E09_CL_BASELINES,naive,A,1023,1.0343667139867398,1.0435686098667472,0.009201895880007305
E09_CL_BASELINES,naive,A,1024,1.0965058234921208,1.0979450218684643,0.0014391983763435423
E09_CL_BASELINES,naive,A,1025,1.0782355529219572,1.0826196511113988,0.004384098189441632
E09_CL_BASELINES,naive,A,1026,1.0834215893118526,1.0937144413531126,0.010292852041259959
E09_CL_BASELINES,naive,A,1027,1.0879926750139872,1.0885834089153397,0.0005907339013524471
E09_CL_BASELINES,naive,A,1028,1.0810653470080154,1.0809937764386963,-7.157056931905714e-05
E09_CL_BASELINES,naive,A,1029,1.0440696381007717,1.0441096742164933,4.0036115721564514e-05
E09_CL_BASELINES,replay,A,1000,1.0982088784563275,1.0975127323685294,-0.0006961460877981107
E09_CL_BASELINES,replay,A,1001,1.094172928344131,1.0963909765446775,0.0022180482005464963
E09_CL_BASELINES,replay,A,1002,1.0955034362772655,1.0961251763610709,0.0006217400838053333
E09_CL_BASELINES,replay,A,1003,1.0973350014830259,1.0953040026521703,-0.002030998830855557
E09_CL_BASELINES,replay,A,1004,1.096864612429448,1.0979312690181748,0.0010666565887267332
E09_CL_BASELINES,replay,A,1005,1.097483438296305,1.0971630540891284,-0.0003203842071766161
E09_CL_BASELINES,replay,A,1006,1.096294991098822,1.097012362234109,0.000717371135287026
E09_CL_BASELINES,replay,A,1007,1.09751889437099,1.0965646370462594,-0.0009542573247305342
E09_CL_BASELINES,replay,A,1008,1.094202175931484,1.0945066169008675,0.0003044409693835348
E09_CL_BASELINES,replay,A,1009,1.0982145982922236,1.0980069769929517,-0.00020762129927187623
E09_CL_BASELINES,replay,A,1010,1.098136346754089,1.0974458647956047,-0.0006904819584843125
E09_CL_BASELINES,replay,A,1011,1.09427309013919,1.096478491052949,0.0022054009137590924
E09_CL_BASELINES,replay,A,1012,1.09387200486741,1.0937939189580281,-7.808590938185311e-05
